Concurrency, Min chrome pdf generation, Avg chrome pdf generation, Max chrome pdf generation, Min pdfmake pdf generation, Avg pdfmake pdf generation, Max pdfmake pdf generation, Min pdfmake image download, Avg pdfmake image download, Max pdfmake image download, Min pdfmake pdf creation, Avg pdfmake pdf creation, Max pdfmake pdf creation
1,768,1027.2,1547,240,290.75,422,12,19.95,46,225,270.8,387
6,763,1672.61,2186,275,931.79,1857,40,688.93,1596,207,242.86,437
11,932,2120.77,2887,288,1560.94,3099,57,1317.86,2846,200,243.08,437
16,1302,3188.05,4352,351,2234.35,4483,93,1989.18,4222,212,245.18,507
21,1691,4074.71,5197,329,2810.02,5562,97,2572.18,5341,192,237.84,388
26,1801,5080.77,6766,360,3436.51,7199,112,3199.76,6926,195,236.75,578
31,2788,6796.9,8179,377,4084.04,8548,102,3846.74,8291,190,237.29,614
36,2717,8629.9,10548,310,4634.35,9624,85,4399.41,9343,193,234.93,677
41,3231,10691.1,31041,368,5343.15,11157,107,5106.63,10939,192,236.52,712
46,undefined,undefined,undefined,364,5857.98,11981,107,5626.73,11775,190,231.24,501
