Concurrency, Min chrome pdf generation, Avg chrome pdf generation, Max chrome pdf generation, Min pdfmake pdf generation, Avg pdfmake pdf generation, Max pdfmake pdf generation, Min pdfmake image download, Avg pdfmake image download, Max pdfmake image download, Min pdfmake pdf creation, Avg pdfmake pdf creation, Max pdfmake pdf creation
1,617,1068.7,2025,33,50.45,126,2,5.7,23,30,44.75,103
6,560,1421.83,2117,33,144.51,440,5,107.68,365,28,36.83,153
11,611,1127.32,2048,42,248.06,597,10,210.97,560,29,37.09,99
16,622,1235.56,2194,42,336.12,757,10,299.71,724,27,36.41,110
21,558,1375.46,2348,46,432.24,1051,15,396.47,1018,27,35.76,117
26,735,1449.51,2320,53,519.55,1210,19,483.69,1173,14,35.86,112
31,628,1521.98,2464,58,611.79,1295,26,576.29,1261,26,35.49,156
36,683,1654.39,2614,57,680.13,1490,23,645.67,1463,27,34.46,129
41,698,2039.48,3091,57,741.47,1978,28,708.74,1942,6,32.72,167
46,738,2035.58,3633,55,787.76,1642,22,756.15,1614,21,31.6,105
